phi1,dm
-13.599999999999909,16.809420765577542
-13.499999999999908,16.809769000750045
-13.399999999999906,16.810101579543055
-13.299999999999905,16.810418513406976
-13.199999999999903,16.810719813792225
-13.099999999999902,16.811005492149206
-12.9999999999999,16.81127555992833
-12.899999999999899,16.811530028580005
-12.799999999999898,16.81176890955464
-12.699999999999896,16.81199221430265
-12.599999999999895,16.812199954274426
-12.499999999999893,16.812392140920387
-12.399999999999892,16.812568785690953
-12.29999999999989,16.812729900036516
-12.19999999999989,16.81287549540749
-12.099999999999888,16.813005583254284
-11.999999999999886,16.81312017502731
-11.899999999999885,16.81321928217697
-11.799999999999883,16.813302916153685
-11.699999999999882,16.813371088407845
-11.59999999999988,16.813423810389875
-11.49999999999988,16.813461093550174
-11.399999999999878,16.813482949339154
-11.299999999999876,16.813489389207227
-11.199999999999875,16.813480424604798
-11.099999999999874,16.813456066982276
-10.999999999999872,16.81341632779007
-10.89999999999987,16.813361218478587
-10.79999999999987,16.81329075049824
-10.699999999999868,16.813204935299435
-10.599999999999866,16.81310378433258
-10.499999999999865,16.812987309048083
-10.399999999999864,16.812855520896356
-10.299999999999862,16.812708431327806
-10.19999999999986,16.812546051792843
-10.09999999999986,16.81236839374187
-9.999999999999858,16.812175468625306
-9.899999999999856,16.81196728789355
-9.799999999999855,16.811743862997012
-9.699999999999854,16.811505205386112
-9.599999999999852,16.811251326511236
-9.49999999999985,16.81098223782282
-9.39999999999985,16.810697950771257
-9.299999999999848,16.810398476806945
-9.199999999999847,16.810083827380318
-9.099999999999845,16.80975401394177
-8.999999999999844,16.80940904794171
-8.899999999999842,16.80904894083055
-8.79999999999984,16.808673704058698
-8.69999999999984,16.80828334907656
-8.599999999999838,16.807877887334552
-8.499999999999837,16.80745733028307
-8.399999999999835,16.807021689372533
-8.299999999999834,16.80657097605335
-8.199999999999832,16.80610520177592
-8.099999999999831,16.805624377990664
-7.9999999999998295,16.80512851614798
-7.899999999999828,16.804617627698285
-7.799999999999827,16.804091724091982
-7.699999999999825,16.803550816779484
-7.599999999999824,16.8029949172112
-7.499999999999822,16.802424036837532
-7.399999999999821,16.801838187108892
-7.2999999999998195,16.801237379475694
-7.199999999999818,16.80062162538834
-7.099999999999817,16.799990936297245
-6.999999999999815,16.799345323652812
-6.899999999999814,16.79868479890545
-6.799999999999812,16.798009373505565
-6.699999999999811,16.797319058903575
-6.59999999999981,16.796613866549887
-6.499999999999808,16.7958938078949
-6.399999999999807,16.795158894389033
-6.299999999999805,16.79440913748269
-6.199999999999804,16.79364454862628
-6.0999999999998025,16.792865139270212
-5.999999999999801,16.79207092086489
-5.8999999999998,16.791261904860733
-5.799999999999798,16.790438102708144
-5.699999999999797,16.78959952585753
-5.599999999999795,16.788746185759305
-5.499999999999794,16.78787809386387
-5.3999999999997925,16.78699526162164
-5.299999999999791,16.786097700483023
-5.19999999999979,16.785185421898422
-5.099999999999788,16.784258437318254
-4.999999999999787,16.78331675819292
-4.899999999999785,16.782360395972837
-4.799999999999784,16.781389362108406
-4.699999999999783,16.78040366805004
-4.599999999999781,16.779403325248147
-4.49999999999978,16.778388345153132
-4.399999999999778,16.777358739215412
-4.299999999999777,16.776314518885385
-4.1999999999997755,16.77525569561347
-4.099999999999774,16.774182280850066
-3.9999999999997726,16.77309428604559
-3.899999999999771,16.771991722650448
-3.79999999999977,16.770874602115043
-3.6999999999997684,16.769742935889795
-3.599999999999767,16.768596735425106
