phi1_center,phi1_lo,phi1_hi,fit_lo,fit_hi,n_signal,n_control,n_coverage,cluster_bin,success,sampler_used,optimizer_success,sampler_success,message,mu_prior_center,mu_prior_sigma,f_stream,f_stream_err,mu,mu_err,sigma,sigma_err,bg_tilt,bg_tilt_err,n_stream,n_stream_err,linear_density,linear_density_err,peak_surface_density,peak_surface_density_err,map_neglogpost,acc_frac,track_poly,track_resid
-0.5,-1.0625,0.0625,-1.5847865336374198,1.4152134663625802,3329,2311,72759,True,True,map,True,True,laplace_ok,-0.0847865336374198,0.35,0.3011128516393368,0.012909242894135394,-0.029910247190387734,0.005315676414571665,0.09979091683472337,0.006372107548031617,0.02104997201683966,0.025520203491399572,1002.4046831073523,42.974869594576724,891.0263849843132,38.1998840840682,3562.128790862032,273.96909403639165,2848.5015856286373,nan,nan,nan
0.25,-0.3125,0.8125,-1.398682350105095,1.601317649894905,3444,2537,76979,True,True,map,True,True,laplace_ok,0.10131764989490503,0.35,0.30766191027172296,0.011804430067731032,0.009735918492903305,0.003757699900456291,0.0837127444467709,0.004702667092328907,0.0026260361972925716,0.025218776169742902,1059.587618975814,40.654457153265675,941.8556613118346,36.13729524734727,4488.516626899772,305.3474101936623,2768.0208733453137,nan,nan,nan
1.0,0.4375,1.5625,-1.2917538887451743,1.7082461112548257,2220,2537,77452,False,True,map,True,True,laplace_ok,0.20824611125482562,0.35,0.10714757040213671,0.012426110478735736,0.291430208276723,0.0155088123742504,0.12102247366951105,0.013012176042523926,-0.06663863265792089,0.026380055521513526,237.8676062927435,27.585965262793334,211.43787226021644,24.520858011371853,696.9904379335793,110.2253609282785,2359.2300081236563,nan,nan,nan
1.75,1.1875,2.3125,-1.16398560462438,1.83601439537562,2120,2497,76894,False,True,map,True,True,laplace_ok,0.3360143953756201,0.35,0.12201938123288748,0.01352565174037854,0.4046647729601982,0.016552214914379852,0.1371055175186161,0.015338825670336134,-0.07062476923797763,0.026974368816680562,258.68108821372147,28.674381689602505,229.93874507886352,25.48833927964667,669.0634262909964,105.3719009955672,2260.429598335025,nan,nan,nan
2.5,1.9375,3.0625,-1.0153774977427115,1.9846225022572885,2264,2615,77735,False,True,map,True,True,laplace_ok,0.48462250225728853,0.35,0.07473485962507397,0.01251904243294479,0.5302089847329161,0.019435280435999198,0.11241246469131663,0.02208419366128588,-0.03508626851517354,0.025701349400038532,169.19972219116747,28.343112068187004,150.39975305881552,25.193877393944003,533.7559373140497,137.80395827025117,2450.627006690499,nan,nan,nan
3.25,2.6875,3.8125,-0.8459295681001698,2.15407043189983,2351,2933,79342,False,True,map,True,True,laplace_ok,0.6540704318998302,0.35,0.11931252084823596,0.018299690931502164,0.5950334919249447,0.03457792767408779,0.2372751305442828,0.035825270226053994,-0.0944325218488794,0.026244382318961517,280.5037365142027,43.022573379961585,249.3366546792913,38.24228744885474,419.221910771878,90.22631946475431,2536.3707468546977,nan,nan,nan
4.0,3.4375,4.5625,-0.6737911454631924,2.326208854536808,2295,3103,79065,False,True,map,True,True,laplace_ok,0.8262088545368076,0.35,0.07245460817505407,0.013262890160919942,0.7878412558374964,0.027135735854286122,0.14053583176927814,0.02425478725329296,-0.10194916069509484,0.0253318961708937,166.2833257617491,30.438332919311268,147.8074006771103,27.056295928276683,419.58424939727763,105.56048287895108,2477.3906941748805,nan,nan,nan
4.75,4.1875,5.3125,-0.4582246110468864,2.5417753889531136,2296,3489,85506,False,True,map,True,True,laplace_ok,1.0417753889531136,0.35,0.015496600769931375,0.007477916346858836,0.9987538465117866,0.03196466523186071,0.0537607509723671,0.02657892186458229,-0.06542599476389853,0.024839362199833175,35.580195367762435,17.16929593238789,31.62684032689994,15.261596384344791,234.69322086647767,162.13897939449882,2511.0876030365202,nan,nan,nan
5.5,4.9375,6.0625,-0.22758286008600948,2.7724171399139905,2605,4007,92046,False,True,map,True,True,laplace_ok,1.2724171399139905,0.35,0.040141704229285695,0.013051974422061656,1.246918625626063,0.06482194318753191,0.18890935860793132,0.04715569798126198,-0.025737950730592738,0.02398207554098127,104.56913951728923,34.000393369470615,92.95034623759042,30.22257188397388,196.2942617844989,80.46422771909488,2843.261021098507,nan,nan,nan
6.25,5.6875,6.8125,0.014858941518238078,3.014858941518238,2859,4441,95675,False,True,map,True,True,laplace_ok,1.514858941518238,0.35,0.04437244900351721,0.013575948745946727,1.5860196905613593,0.054176831154326234,0.17577425379023454,0.0529785979350111,-0.022370771071243998,0.022877608100784572,126.8608317010557,38.813637464661696,112.76518373427173,34.50101107969928,255.93509048556825,109.91835842680536,3115.620314324895,nan,nan,nan
7.0,6.4375,7.5625,0.26795221282898174,3.2679522128289817,2905,4762,100550,False,True,map,True,True,laplace_ok,1.7679522128289817,0.35,0.047073734385501866,0.016476890653616516,1.8407530835139925,0.09418751526192962,0.27895913760841984,0.06737684832815166,0.014773612341328351,0.023610693332105564,136.7491983898829,47.86536734875598,121.55484301322925,42.54699319889421,173.8368087931462,73.92717473488612,3170.8111217540936,nan,nan,nan
7.75,7.1875,8.3125,0.46909375975097944,3.4690937597509794,2856,4575,104159,False,True,map,True,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH; laplace_failed:SVD did not converge,1.9690937597509794,0.35,0.4962395245100809,nan,3.092687471179411,nan,1.2,nan,-0.6333255507121706,nan,1417.260082000791,nan,1259.7867395562587,nan,418.8184955817163,nan,3144.358537980654,nan,nan,nan
8.5,7.9375,9.0625,0.6493457302760524,3.6493457302760524,2693,4301,108843,False,True,map,True,True,laplace_ok,2.1493457302760524,0.35,0.017905284953260145,0.0075547343592343,2.164642184691549,0.04035750582996841,0.0802772038902211,0.026662028473548226,0.026606785642362154,0.022500592896438316,48.21893237912957,20.34489962941797,42.86127322589295,18.084355226149306,213.00161506658463,114.37405760130673,2965.962032496625,nan,nan,nan
9.25,8.6875,9.8125,0.8087081244042023,3.8087081244042023,2607,3927,103746,False,True,map,True,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH; laplace_failed:SVD did not converge,2.3087081244042023,0.35,0.44068444872225376,nan,3.445841454855243,nan,0.9393778511720795,nan,-0.6333251525138112,nan,1148.8643578189156,nan,1021.2127625057027,nan,433.6965660205261,nan,2867.4230365327535,nan,nan,nan
10.0,9.4375,10.5625,0.9471809421354291,3.947180942135429,2682,3513,91592,False,True,map,True,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH; laplace_failed:SVD did not converge,2.447180942135429,0.35,0.46098119876071575,nan,3.560733512285503,nan,0.9653911846604268,nan,-0.6333255507121706,nan,1236.3515750762397,nan,1098.9791778455465,nan,454.1467399845898,nan,2952.163544350645,nan,nan,nan
