phi1_center,phi1_lo,phi1_hi,fit_lo,fit_hi,n_signal,n_control,cluster_bin,success,optimizer_success,message,mu_prior_center,mu_prior_sigma,f_stream,f_stream_err,mu,mu_err,sigma,sigma_err,bg_tilt,bg_tilt_err,n_stream,n_stream_err,linear_density,linear_density_err,peak_surface_density,peak_surface_density_err,map_negloglike,acc_frac,track_poly,track_resid
-4.25,-4.8125,-3.6875,-1.8062778456851065,1.1937221543148935,8817,9376,False,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-0.30627784568510663,0.3,0.1389663244791837,0.003683871168605251,-0.31222959363075103,0.015,0.12175968152967481,0.008,0.0,,299.04795551380766,17.293003079679586,398.7306073517436,23.05733743957278,870.953317027661,76.23133035364063,-5730.463991011612,,-0.20041677561095173,-0.11181281801979931
-3.5,-4.0625,-2.9375,-1.8376534388918402,1.1623465611081598,9341,9976,False,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-0.33765343889184013,0.3,0.12166692913053444,0.0033823551333972595,-0.31510746933032147,0.015,0.14329755477872586,0.008,0.0,,306.97640905277945,17.52074225176489,409.30187873703926,23.360989669019855,759.6678818797126,60.65144085592503,-6847.127259507633,,-0.279685447168517,-0.035422022161804456
-2.75,-3.3125,-2.1875,-1.8227666696319675,1.1772333303680325,9596,10428,False,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-0.3227666696319676,0.3,0.17755133324927672,0.003900957777651816,-0.32404238676396335,0.015,0.13336823277500545,0.008,0.0,,450.02450682089005,21.213781059040137,600.0326757611867,28.285041412053516,1196.5788204220858,91.28741602572775,-7096.935442642289,,-0.35539544446853555,0.031353057704572196
-2.0,-2.5625,-1.4375,-1.7756599290029398,1.2243400709970602,9640,11089,False,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-0.27565992900293984,0.3,0.1546227056278373,0.003682335940746714,-0.3026303086816977,0.015,0.11706573368977688,0.008,0.0,,344.05009863357367,18.54858751047027,458.7334648447649,24.73145001396036,1042.1960881487373,90.71651676214863,-6018.149959973052,,-0.4275467675110074,0.12491645882930968
-1.25,-1.8125,-0.6875,-1.6963332170047574,1.3036667829952426,9711,11798,False,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-0.19633321700475725,0.3,0.09697735192718801,0.0030029804496068003,-0.25637385886494457,0.015,0.09933705337211819,0.008,0.0,,238.82707406061246,15.45403099714157,318.4360987474833,20.60537466285543,852.5695705278729,88.07847707459678,-6443.593331817793,,-0.49613941629593244,0.23976555743098787
-0.5,-1.0625,0.0625,-1.5847865336374198,1.4152134663625802,11102,12755,True,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-0.0847865336374198,0.3,0.29606271438518866,0.004332696131506963,-0.03127263198243491,0.015,0.0965971273493157,0.008,0.0,,981.7843956149236,31.333438936939615,1309.045860819898,41.77791858258615,3604.204770859204,319.8903301087589,-10857.296299736085,,,
0.25,-0.3125,0.8125,-1.398682350105095,1.601317649894905,11670,13377,True,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.10131764989490503,0.3,0.3648148241054525,0.00445605956611416,0.011120789277020801,0.015,0.10376135024984286,0.008,0.0,,1243.94899075673,35.26966105247866,1658.5986543423066,47.02621473663822,4251.326901206932,349.23819440701715,-11515.289903713865,,,
1.0,0.4375,1.5625,-1.2917538887451743,1.7082461112548257,10300,13649,False,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.20824611125482562,0.3,0.1049089329420207,0.0030194040550526966,0.26626156833413583,0.015,0.11980183480773894,0.008,0.0,,236.24440654707684,15.370244192825202,314.99254206276913,20.493658923766937,699.2872479325762,65.19541771899583,-5867.340304155984,,0.17180386120953922,0.09445770712459661
1.75,1.1875,2.3125,-1.16398560462438,1.83601439537562,10517,14262,False,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.3360143953756201,0.3,0.12462258178580322,0.003220698749789684,0.393111765303161,0.015,0.13680557716049963,0.008,0.0,,264.3553328057163,16.259007743577598,352.47377707428836,21.6786769914368,685.2385959029142,58.15396822398871,-5504.572873486096,,0.33691163318061884,0.05620013212254216
2.5,1.9375,3.0625,-1.0153774977427115,1.9846225022572885,10886,15141,False,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.48462250225728853,0.3,0.1339472116168682,0.0032644111744264954,0.45211484990016104,0.015,0.2454472265539834,0.009981578213832599,0.0,,302.3345877311255,17.38777121229531,403.1127836415007,23.18369494972708,436.80464547040305,30.767269870770114,-5991.939963729871,,0.5082236813932378,-0.05610883149307677
