phi1,dm_interp
-6.800000190734863,16.68739891052246
-6.75,16.685426712036133
-6.699999809265137,16.683456420898438
-6.650000095367432,16.681486129760742
-6.599999904632568,16.679513931274414
-6.550000190734863,16.67754364013672
-6.5,16.675573348999023
-6.449999809265137,16.673601150512695
-6.400000095367432,16.671630859375
-6.349999904632568,16.669660568237305
-6.300000190734863,16.667688369750977
-6.25,16.66571807861328
-6.199999809265137,16.663747787475586
-6.150000095367432,16.661775588989258
-6.099999904632568,16.659805297851562
-6.050000190734863,16.657833099365234
-6.0,16.65586280822754
-5.949999809265137,16.653892517089844
-5.900000095367432,16.651920318603516
-5.849999904632568,16.64995002746582
-5.800000190734863,16.647979736328125
-5.75,16.646007537841797
-5.699999809265137,16.6440372467041
-5.650000095367432,16.642066955566406
-5.599999904632568,16.640094757080078
-5.550000190734863,16.638124465942383
-5.5,16.636154174804688
-5.449999809265137,16.63418197631836
-5.400000095367432,16.632211685180664
-5.349999904632568,16.63024139404297
-5.300000190734863,16.62826919555664
-5.25,16.626298904418945
-5.199999809265137,16.624326705932617
-5.150000095367432,16.622356414794922
-5.099999904632568,16.620386123657227
-5.050000190734863,16.6184139251709
-5.0,16.616443634033203
-4.949999809265137,16.618206024169922
-4.900000095367432,16.619970321655273
-4.849999904632568,16.621732711791992
-4.800000190734863,16.62349510192871
-4.75,16.625259399414062
-4.699999809265137,16.62702178955078
-4.650000095367432,16.6287841796875
-4.599999904632568,16.63054847717285
-4.550000190734863,16.63231086730957
-4.5,16.63407325744629
-4.449999809265137,16.635835647583008
-4.400000095367432,16.63759994506836
-4.349999904632568,16.639362335205078
-4.300000190734863,16.641124725341797
-4.25,16.64288902282715
-4.199999809265137,16.644651412963867
-4.150000095367432,16.646413803100586
-4.099999904632568,16.648178100585938
-4.050000190734863,16.649940490722656
-4.0,16.651702880859375
-3.950000047683716,16.653467178344727
-3.9000000953674316,16.655229568481445
-3.8499999046325684,16.656991958618164
-3.799999952316284,16.658754348754883
-3.75,16.660518646240234
